id;nombre;direccion;indicativo;telefono;email;logo;resolucion_facturas;prefijo_inicial;prefijo_final;prefijo_actual;descripcion;fecha_registro
1;microchip e-business;orquestar Toallas;80053;60462;Vctor_Lozano97@hotmail.com;generate de Pelota;payment Distrito parsing;auxiliary Iraqi monitor;hardware Ejecutivo;Baleares;28976;2022-01-01T11:22:39
2;Cambridgeshire;Gorro Francia back;53012;57692;Hernn_Estrada@gmail.com;Avon;Account;Oro;up;programming clicks-and-mortar niches;79339;2022-01-01T14:10:48
3;Andalucía Argentina withdrawal;en;41861;43227;Rodrigo53@hotmail.com;Tunez Jardines niches;Hormigon Refinado;Cuentas Algodón;Calidad;Cambridgeshire;61118;2022-01-01T14:01:48
4;Galicia Nacional;Deportes;60447;28420;Mario9@gmail.com;redundant navigate intangible;Obligatorio proactive Aragón;Violeta;Asistente Trinidad;Humano;55707;2022-01-01T16:01:18
5;Silver;Buckinghamshire;58691;21258;Adriana.Raya70@gmail.com;Datos Equilibrado;Tácticas;Salchichas alarm Decoración;convergence Producto;Práctico Gorro;66853;2022-01-01T06:24:12
6;1080p;data-warehouse Personal;87634;37522;Mara.Corrales56@yahoo.com;Cataluña Sorprendente;bypass Marca;Ergonómico compress navigate;Morado Ucrania;cliente Re-implementado;30465;2022-01-01T17:01:38
7;Algodón;Amarillo compuesto Islands;21101;28612;Dolores_Rentera35@hotmail.com;Cataluña Técnico Relacciones;transmit;payment;Salud niches;extensible;46304;2022-01-01T12:52:07
8;Programa deposit;Parafarmacia;4892;43297;Clara_Barraza8@yahoo.com;Mesa extensible Ensalada;Sabroso Diseñador;estatica;Artesanal override;SDD;82540;2022-01-01T12:10:39
9;Corporativo Cuesta Algodón;Videojuegos;54492;25593;Carlota.Fonseca@yahoo.com;methodologies;world-class Vatu;paradigma plug-and-play;navigating Morado enhance;multi-byte;50500;2022-01-02T04:17:56
10;transmitter Atún;functionalities proporciona;77614;3219;LuisMiguel_Mena31@yahoo.com;Violeta nacional;Juguetería RAM Coche;global intangible Creativo;Sección Auto cero;Ergonómico Optimización;68938;2022-01-01T12:50:10
