id;razon_social;nombre_comercial;tipo_documento;documento;dv;direccion;indicativo;telefono;email;logo;resolucion_facturas;prefijo_inicial;prefijo_final;prefijo_actual;descripcion;fecha_registro;estado
1;EXE index clicks-and-mortar;Monte parse;circuit override;Pelota world-class;Hormigon Métricas back-end;bifurcada payment Borders;90927;85927;Jacobo.Rubio@gmail.com;Arquitecto;Artesanal Valenciana Productor;Coordinador Ethiopian Especialista;Avon Verde;Datos navigate deposit;47375;2022-01-01T11:25:05;735
2;Madera Calidad;Account virtual;Cambridgeshire Marroquinería;Artesanal Account;Loan;niches Especialista;79919;76844;Leonor.Carrin@gmail.com;Implementado Algodón Perseverando;Borders Armenia;soporte León e-tailers;Apartamento Guapo;Negro Avon Guantes;61265;2022-01-01T07:24:32;738
3;Martinica deliverables;Uruguay open-source Pizza;synergistic Interacciones;cutting-edge Negro;Práctico;Taiwan Web;90260;3283;Margarita_Resndez14@yahoo.com;Marca Cambridgeshire haptic;Canadian;Pre-emptivo Librería;infrastructures Ordenador;Dinar Hogar Salud;1092;2022-01-01T23:48:54;59144
4;engage;Arroyo El neural;Borders Salida;Bedfordshire paralelismo;Práctico quantifying;Acero;94034;31845;Teresa.Echevarra16@hotmail.com;Cine XSS Uganda;Estratega Operaciones;Vía AGP Account;Cantabria multitarea Cliente;Dinánmico SSL orchestrate;52364;2022-01-01T09:15:48;81618
5;THX GB;Market Borders SMS;Coche Amarillo Berkshire;Puente;payment navigate compress;proporciona Directo dedicada;57152;14458;Barbara14@yahoo.com;Increible Avon;Arquitecto Principado;withdrawal Borders end-to-end;Comunidad País;Verde;7015;2022-01-01T22:18:23;90143
6;partnerships invoice;Metal;generate;Inversor;Corea;system;23745;91948;Timoteo67@hotmail.com;invoice Hormigon;Cataluña Hormigon ubiquitous;fases Guinea-Bisau Uganda;USB;Negro Leone;92249;2022-01-02T03:25:34;13754
7;Aplicaciones SSL;Plástico Investment Interno;HDD;invoice;protocolo Partida;Negro Patatas harness;65628;85985;David84@gmail.com;protocolo payment;Senior e-tailers cross-platform;direccional generating;Intercambiable Cuban paradigms;Peso;87763;2022-01-02T03:24:13;75602
8;cross-media Mali 5th;rich;Pizza Account indexing;a Madera Bicicleta;Money;Account;72550;70389;Emilia_Vzquez@gmail.com;Humano;Bacon;de wireless Hecho;Moldavia hibrida Camino;AI;39966;2022-01-02T03:58:51;67438
9;Usabilidad;maximize Programa Integrado;objetos;programming HTTP;Azul Ladrillo;Papelería Colombian Acero;93962;46281;Benito21@gmail.com;Auto hacking;Agente;granular deposit multitarea;Account Borders coherente;deposit Marroquinería;89329;2022-01-01T05:36:00;71706
10;Navarra Fantástico;direccional Integración;Castilla-La;Mesa;Municipio Tobago Adelante;Asistente Violeta payment;9756;81823;Mercedes.Olivas@gmail.com;abierta infomediaries;copy Ergonómico;transmitting Jardines Electrónica;Valenciana capacitor;algoritmo reboot;81965;2022-01-01T22:10:30;4653
